input;output;description;hook;Structure
{"NPCs":{"Balgruuf the Greater":{"Name":"Balgruuf the Greater","NamePossessive":"Balgruuf the Greater's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"Stormcloaks","OwnedItems":{"Gold Septim":500,"Iron Sword":1,"Alto Wine":5},"Role":"Jarl","Relations":[{"Target":"Dragonborn","Favorability":10}]}},"Factions":{"Stormcloaks":{"Name":"Stormcloaks","DefaultLocation":"Windhelm Gray Quarter"}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold","Enemies":["Wolf","Bandit","Giant","Mammoth"]}},"Enemies":{"Giant":{"Name":"Giant","Loot":["Mammoth Tusk","Gold Septim","Bear Pelt"],"NameSingular":"Giant","NamePlural":"Giants","IndefiniteArticle":"a"},"Mammoth":{"Name":"Mammoth","Loot":["Mammoth Tusk","Bear Pelt"],"NameSingular":"Mammoth","NamePlural":"Mammoths","IndefiniteArticle":"a"}},"Items":{"Iron Sword":{"Type":"Weapon","Name":"Iron Sword","NameSingular":"Iron Sword"}}};{"Quest":{"Structure":"Attack threatening entities","Name":"Giant Camp Clearance","Giver":"Balgruuf the Greater","Reward":{"Gold Septim":500,"Iron Sword":1},"Favorability":{"Balgruuf the Greater":15,"Stormcloaks":5},"Actions":["goto Whiterun Hold","damage Giant","goto Whiterun Hold","report"]}};A Giant has established a camp too close to Whiterun's farms, and its Mammoth herd is trampling crops. Several farmers have complained, and there are fears that the Giant might become aggressive if approached. Balgruuf wants the Giant driven off or killed before there's bloodshed.;A Giant and his Mammoths have settled in just north of the city. The farmers are terrified, and I can't blame them—Giants are peaceful enough if left alone, but get too close to their mammoths and they'll send you to the moons. I need someone to clear that camp. Convince the Giant to move on, or put him down if you must. Just keep my people safe.;Attack threatening entities
{"NPCs":{"Arcadia":{"Name":"Arcadia","NamePossessive":"Arcadia's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"Stormcloaks","OwnedItems":{"Gold Septim":400,"Health Potion":10,"Blue Mountain Flower":20,"Wheat":15},"Role":"Apothecary","Relations":[{"Target":"Dragonborn","Favorability":10}]}},"Items":{"Blue Mountain Flower":{"Type":"Ingredient","Name":"Blue Mountain Flower","NameSingular":"Blue Mountain Flower","NamePlural":"Blue Mountain Flowers","IndefiniteArticle":"a"},"Wheat":{"Type":"Ingredient","Name":"Wheat","NameSingular":"Wheat","IndefiniteArticle":"a"},"Health Potion":{"Type":"Potion","Name":"Health Potion","NameSingular":"Health Potion","NamePlural":"Health Potions","IndefiniteArticle":"a"}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold","Enemies":["Wolf","Bandit","Giant","Mammoth"]}},"Enemies":{"Bandit":{"Name":"Bandit","Loot":["Iron Sword","Leather Armor","Gold Septim","Lockpick"],"NameSingular":"Bandit","NamePlural":"Bandits","IndefiniteArticle":"a"}}};{"Quest":{"Structure":"Recover stolen item","Name":"The Apothecary's Missing Supplies","Giver":"Arcadia","Reward":{"Gold Septim":180,"Health Potion":3,"Blue Mountain Flower":10},"Favorability":{"Arcadia":15},"Actions":["goto Whiterun Hold","kill Bandit","take Blue Mountain Flower","goto Whiterun Hold","give"]}};Arcadia's latest shipment of rare alchemical ingredients, including a substantial quantity of Blue Mountain Flowers and Wheat, was ambushed by bandits on the road. She needs those supplies to fulfill orders and create potions for the city guard. She's willing to pay for their recovery.;Bandits took my shipment! A whole crate of Blue Mountain Flowers, Wheat, and other ingredients I need for my potions. The guard won't do anything—they say it's 'not a priority'—but I have customers waiting. Please, get my supplies back. I can't run my shop without them.;Recover stolen item
{"NPCs":{"Babette":{"Name":"Babette","NamePossessive":"Babette's","Species":"Elf","HomeLocation":"Windhelm Gray Quarter","CurrentLocation":"Windhelm Gray Quarter","Faction":"Dark Brotherhood","OwnedItems":{"Gold Septim":300,"Health Potion":10,"Blue Mountain Flower":15},"Role":"Alchemist","Relations":[{"Target":"Dragonborn","Favorability":10},{"Target":"Astrid","Favorability":10}]}},"Factions":{"Dark Brotherhood":{"Name":"Dark Brotherhood","NameDefinitive":"the Dark Brotherhood","DefaultLocation":"Windhelm Gray Quarter","Relations":[{"Target":"Dragonborn","Favorability":30}]}},"Items":{"Health Potion":{"Type":"Potion","Name":"Health Potion","NameSingular":"Health Potion","NamePlural":"Health Potions","IndefiniteArticle":"a"}},"Locations":{"Windhelm Gray Quarter":{"Name":"Windhelm Gray Quarter","NameDefinitive":"the Windhelm Gray Quarter","Enemies":["Bandit","Ice Wraith"]}}};{"Quest":{"Structure":"Guard entity","Name":"Guard the Alchemist","Giver":"Babette","Reward":{"Gold Septim":200,"Health Potion":5},"Favorability":{"Babette":15,"Dark Brotherhood":10},"Actions":["goto Windhelm Gray Quarter","defend"]}};Babette is expecting a visit from a client who has been acting suspiciously. She suspects an ambush or an assassination attempt—perhaps from a rival alchemist or someone with a grudge against the Brotherhood. She wants you to stay hidden nearby and intervene if anything goes wrong.;Sweet child, I have a delicate situation. A client is coming to purchase some... specialized potions. I don't trust him. Something about his letters feels wrong. I need you to stay hidden and watch. If he tries anything, you know what to do. I'm quite capable of defending myself, of course, but having backup never hurts.;Guard entity
{"NPCs":{"Falk Firebeard":{"Name":"Falk Firebeard","NamePossessive":"Falk Firebeard's","Species":"Human","HomeLocation":"Solitude Blue Palace","CurrentLocation":"Solitude Blue Palace","Faction":"Imperial Legion","OwnedItems":{"Gold Septim":500,"Iron Sword":1,"Leather Armor":1},"Role":"Noble","Relations":[{"Target":"Dragonborn","Favorability":5},{"Target":"Elisif the Fair","Favorability":25}]},"Elisif the Fair":{"Name":"Elisif the Fair","NamePossessive":"Elisif the Fair's","Species":"Human","HomeLocation":"Solitude Blue Palace","CurrentLocation":"Solitude Blue Palace","Faction":"Imperial Legion","Role":"Jarl","Relations":[{"Target":"Dragonborn","Favorability":10}]}},"Factions":{"Imperial Legion":{"Name":"Imperial Legion","NameDefinitive":"the Imperial Legion"}},"Locations":{"Bleak Falls Barrow":{"Name":"Bleak Falls Barrow","NameDefinitive":"the Bleak Falls Barrow","Enemies":["Draugr","Frostbite Spider","Dragon Priest"],"Resources":["Iron Sword","Health Potion","Gold Septim","Amulet of Mara"]}},"Enemies":{"Draugr":{"Name":"Draugr","Loot":["Iron Sword","Gold Septim","Health Potion"],"NameSingular":"Draugr","NamePlural":"Draugr","IndefiniteArticle":"a"}},"Items":{"Iron Sword":{"Type":"Weapon","Name":"Iron Sword","NameSingular":"Iron Sword"}}};{"Quest":{"Structure":"Attack enemy","Name":"Eliminate the Draugr Threat","Giver":"Falk Firebeard","Reward":{"Gold Septim":300,"Iron Sword":1},"Favorability":{"Falk Firebeard":15,"Elisif the Fair":10,"Imperial Legion":5},"Actions":["goto Bleak Falls Barrow","damage Draugr"]}};Falk Firebeard has received reports of Draugr emerging from Bleak Falls Barrow at night and attacking nearby farms. These ancient undead warriors are a threat to the citizens of the hold, and he wants them cleared out before they claim any lives.;Draugr. Walking corpses from ancient times, crawling out of Bleak Falls Barrow to terrorize the living. Several farmers have reported seeing them at night, and two people are missing. The Jarl wants this dealt with quietly—we don't need a panic. Go into the barrow and put those things back in their graves.;Attack enemy
{"NPCs":{"Viarmo":{"Name":"Viarmo","NamePossessive":"Viarmo's","Species":"Human","HomeLocation":"Solitude Blue Palace","CurrentLocation":"Solitude Blue Palace","Faction":"Bards College","OwnedItems":{"Gold Septim":300,"Roll of Paper":10,"Charcoal":5,"Amulet of Mara":1},"Role":"Bard","Relations":[{"Target":"Dragonborn","Favorability":10}]},"Giraud Gemane":{"Name":"Giraud Gemane","NamePossessive":"Giraud Gemane's","Species":"Human","HomeLocation":"Solitude Blue Palace","CurrentLocation":"Solitude Blue Palace","Faction":"Bards College","OwnedItems":{"Gold Septim":150,"Alto Wine":5,"Honey Nut Treat":5,"Roll of Paper":3},"Role":"Bard","Relations":[{"Target":"Dragonborn","Favorability":5}]}},"Factions":{"Bards College":{"Name":"Bards College","DefaultLocation":"Solitude Blue Palace"}},"Items":{"Roll of Paper":{"Type":"Ingredient","Name":"Roll of Paper","NameSingular":"Roll of Paper","NamePlural":"Rolls of Paper","IndefiniteArticle":"a"},"Alto Wine":{"Type":"Potion","Name":"Alto Wine","NameSingular":"Alto Wine","IndefiniteArticle":"an"}},"Locations":{"Solitude Blue Palace":{"Name":"Solitude Blue Palace","NameDefinitive":"the Solitude Blue Palace","Resources":["Alto Wine","Amulet of Mara","Roll of Paper","Charcoal"]}}};{"Quest":{"Structure":"Steal stuff","Name":"The Bard's Lost Manuscript","Giver":"Viarmo","Reward":{"Gold Septim":250,"Alto Wine":3},"Favorability":{"Viarmo":15,"Bards College":10},"Actions":["goto Solitude Blue Palace","stealth","take Roll of Paper","goto Solitude Blue Palace","give"]}};Viarmo has discovered that a rival bard, Giraud Gemane, has acquired an original manuscript of a legendary lost composition—"The Saga of the Dragonborn." Viarmo believes Giraud plans to claim he wrote it himself. He wants you to retrieve the manuscript so it can be properly preserved in the College's archives.;That snake Giraud has an original manuscript of 'The Saga of the Dragonborn.' He's going to pass it off as his own work! The scandal would destroy the College's reputation. I can't prove he stole it, but I know he did. I need that manuscript retrieved. Quietly. No one can know it was us.;Steal stuff
{"NPCs":{"Astrid":{"Name":"Astrid","NamePossessive":"Astrid's","Species":"Human","HomeLocation":"Windhelm Gray Quarter","CurrentLocation":"Windhelm Gray Quarter","Faction":"Dark Brotherhood","OwnedItems":{"Gold Septim":600,"Steel Dagger":1,"Health Potion":5},"Role":"Spymaster","Relations":[{"Target":"Dragonborn","Favorability":20}]},"General Tullius":{"Name":"General Tullius","NamePossessive":"General Tullius's","Species":"Human","HomeLocation":"Solitude Blue Palace","CurrentLocation":"Solitude Blue Palace","Faction":"Imperial Legion","OwnedItems":{"Gold Septim":800,"Steel Dagger":1,"Leather Armor":1},"Role":"GuardCaptain","Relations":[{"Target":"Dragonborn","Favorability":5},{"Target":"Stormcloaks","Favorability":-50}]}},"Factions":{"Dark Brotherhood":{"Name":"Dark Brotherhood","NameDefinitive":"the Dark Brotherhood","DefaultLocation":"Windhelm Gray Quarter","Relations":[{"Target":"Dragonborn","Favorability":30}]},"Imperial Legion":{"Name":"Imperial Legion","NameDefinitive":"the Imperial Legion","DefaultLocation":"Solitude Blue Palace"}},"Items":{"Steel Dagger":{"Type":"Weapon","Name":"Steel Dagger","NameSingular":"Steel Dagger","NamePlural":"Steel Daggers","IndefiniteArticle":"a"},"Health Potion":{"Type":"Potion","Name":"Health Potion","NameSingular":"Health Potion","NamePlural":"Health Potions","IndefiniteArticle":"a"}},"Locations":{"Solitude Blue Palace":{"Name":"Solitude Blue Palace","NameDefinitive":"the Solitude Blue Palace","Enemies":["Vampire","Wolf"]},"Windhelm Gray Quarter":{"Name":"Windhelm Gray Quarter","NameDefinitive":"the Windhelm Gray Quarter"}}};{"Quest":{"Structure":"Kill enemies","Name":"Assassinate the Imperial General","Giver":"Astrid","Reward":{"Gold Septim":5000,"Steel Dagger":1,"Health Potion":10},"Favorability":{"Astrid":40,"Dark Brotherhood":35,"Imperial Legion":-50,"General Tullius":-50},"Actions":["goto Solitude Blue Palace","kill General Tullius","goto Windhelm Gray Quarter","report"]}};A mysterious client has paid an enormous sum for the assassination of General Tullius, the military governor of Skyrim. This is the highest-profile contract the Brotherhood has received in years. Astrid wants it done perfectly—clean, untraceable, and with maximum impact.;This is it. The contract that will remind Skyrim why they fear the Dark Brotherhood. General Tullius—the Empire's iron fist in this frozen province. Someone wants him dead, and they've paid enough gold to buy a small kingdom. This won't be easy. He's protected at all times. But you've proven yourself capable. Bring me word when it's done.;Kill enemies
{"NPCs":{"Ysolda":{"Name":"Ysolda","NamePossessive":"Ysolda's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"Stormcloaks","OwnedItems":{"Gold Septim":200,"Mammoth Tusk":1,"Wheat":10},"Role":"Merchant","Relations":[{"Target":"Dragonborn","Favorability":10}]}},"Items":{"Wheat":{"Type":"Ingredient","Name":"Wheat","NameSingular":"Wheat","IndefiniteArticle":"a"},"Blue Mountain Flower":{"Type":"Ingredient","Name":"Blue Mountain Flower","NameSingular":"Blue Mountain Flower","NamePlural":"Blue Mountain Flowers","IndefiniteArticle":"a"}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold","Enemies":["Wolf","Bandit","Giant","Mammoth"],"Resources":["Blue Mountain Flower","Wheat","Bear Pelt"]}},"Enemies":{"Spriggan":{"Name":"Spriggan","Loot":["Blue Mountain Flower","Wheat","Honey Nut Treat"],"NameSingular":"Spriggan","NamePlural":"Spriggans","IndefiniteArticle":"a"}}};{"Quest":{"Structure":"Attack threatening entities","Name":"Spriggan Sanctuary Desecration","Giver":"Ysolda","Reward":{"Gold Septim":150,"Wheat":15,"Blue Mountain Flower":10},"Favorability":{"Ysolda":15},"Actions":["goto Whiterun Hold","damage Spriggan","goto Whiterun Hold","report"]}};Ysolda has been trying to expand her trading routes through a forested area, but Spriggans have been attacking her caravans. She's normally respectful of nature spirits, but these Spriggans are unusually aggressive and have already injured two of her drivers. She needs them cleared out before her business suffers further.;I've tried to be respectful—I really have. I leave offerings, I don't cut down trees, I follow the old paths. But these Spriggans won't leave my caravans alone! Two of my drivers are in the temple with injuries from those tree-spirits. I hate to ask this, but could you drive them off? I can't run my trade routes like this.;Attack threatening entities
{"NPCs":{"Tolfdir":{"Name":"Tolfdir","NamePossessive":"Tolfdir's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"College of Winterhold","OwnedItems":{"Gold Septim":250,"Charcoal":10,"Roll of Paper":10,"Centurion Dynamo Core":1},"Role":"Wizard","Relations":[{"Target":"Dragonborn","Favorability":15}]},"Uraccen":{"Name":"Uraccen","NamePossessive":"Uraccen's","Species":"Human","HomeLocation":"Markarth Warrens","CurrentLocation":"Markarth Warrens","Faction":"Forsworn","OwnedItems":{"Gold Septim":60,"Staff of Magelight":1},"Role":"Wizard","Relations":[{"Target":"Dragonborn","Favorability":-15}]}},"Factions":{"College of Winterhold":{"Name":"College of Winterhold","NameDefinitive":"the College of Winterhold","DefaultLocation":"Whiterun Hold"}},"Items":{"Staff of Magelight":{"Type":"Weapon","Name":"Staff of Magelight","NameSingular":"Staff of Magelight","NamePlural":"Staves of Magelight","IndefiniteArticle":"a"},"Roll of Paper":{"Type":"Ingredient","Name":"Roll of Paper","NameSingular":"Roll of Paper","NamePlural":"Rolls of Paper","IndefiniteArticle":"a"}},"Locations":{"Markarth Warrens":{"Name":"Markarth Warrens","NameDefinitive":"the Markarth Warrens"},"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold"}}};{"Quest":{"Structure":"Recover stolen item","Name":"The Stolen Staff","Giver":"Tolfdir","Reward":{"Gold Septim":300,"Roll of Paper":10},"Favorability":{"Tolfdir":15,"College of Winterhold":10},"Actions":["goto Markarth Warrens","stealth","take Staff of Magelight","goto Whiterun Hold","give"]}};A valuable Staff of Magelight was stolen from the College of Winterhold's storage room. Tolfdir believes a former student, now living in Markarth Warrens with Forsworn connections, took it. He wants the staff returned—it's not just valuable, it's dangerous in the wrong hands.;One of my staves is missing—a Staff of Magelight. It's not the most powerful artifact we have, but it's still College property. I suspect a former student named Uraccen took it. He was expelled for practicing forbidden magic and fled to Markarth. Last I heard, he'd fallen in with the Forsworn. Retrieve the staff for me, please. Quietly, if possible.;Recover stolen item
{"NPCs":{"Maven Black-Briar":{"Name":"Maven Black-Briar","NamePossessive":"Maven Black-Briar's","Species":"Human","HomeLocation":"Riften Docks","CurrentLocation":"Riften Docks","Faction":"Thieves Guild","OwnedItems":{"Gold Septim":2000,"Alto Wine":20,"Honey Nut Treat":10,"Garnet":15},"Role":"Noble","Relations":[{"Target":"Dragonborn","Favorability":-5}]}},"Factions":{"Thieves Guild":{"Name":"Thieves Guild","NameDefinitive":"the Thieves Guild","DefaultLocation":"Riften Docks"}},"Items":{"Alto Wine":{"Type":"Potion","Name":"Alto Wine","NameSingular":"Alto Wine","NamePlural":"Alto Wines","IndefiniteArticle":"an"}},"Locations":{"Riften Docks":{"Name":"Riften Docks","NameDefinitive":"the Riften Docks","Enemies":["Skeever","Bandit","Frostbite Spider"],"Resources":["Lockpick","Garnet","Alto Wine","Honey Nut Treat"]}}};{"Quest":{"Structure":"Guard entity","Name":"Guard the Black-Briar Meadery","Giver":"Maven Black-Briar","Reward":{"Gold Septim":350,"Alto Wine":10},"Favorability":{"Maven Black-Briar":15,"Thieves Guild":5},"Actions":["goto Riften Docks","defend"]}};Maven has received threats against her meadery—specifically, someone has promised to burn it down. She suspects a rival merchant or perhaps someone she's crossed in the past. She wants you to guard the meadery for the next few nights and deal with anyone who tries anything.;Someone thinks they can threaten my meadery. Burn it down, they said. Ruin my business. I don't know who it is yet, but I know they're serious enough to try. I want you watching the place. If anyone so much as looks at my meadery wrong, you deal with them. I don't care how—just make sure my business stays standing.;Guard entity
{"NPCs":{"Arngeir":{"Name":"Arngeir","NamePossessive":"Arngeir's","Species":"Human","HomeLocation":"Throat of the World","CurrentLocation":"Throat of the World","Faction":"Blades","OwnedItems":{"Gold Septim":0,"Charcoal":5,"Roll of Paper":5},"Role":"Priest","Relations":[{"Target":"Dragonborn","Favorability":25},{"Target":"Paarthurnax","Favorability":30}]},"Paarthurnax":{"Name":"Paarthurnax","NamePossessive":"Paarthurnax's","Species":"Lizardfolk","HomeLocation":"Throat of the World","CurrentLocation":"Throat of the World","Faction":"Blades","Role":"Priest","Relations":[{"Target":"Dragonborn","Favorability":40}]}},"Items":{"Charcoal":{"Type":"Ingredient","Name":"Charcoal","NameSingular":"Charcoal","IndefiniteArticle":"a"}},"Locations":{"Throat of the World":{"Name":"Throat of the World","NameDefinitive":"the Throat of the World","Enemies":["Ice Wraith","Wolf"],"Resources":["Blue Mountain Flower","Charcoal","Roll of Paper"]}},"Enemies":{"Ice Wraith":{"Name":"Ice Wraith","Loot":["Charcoal","Health Potion"],"NameSingular":"Ice Wraith","NamePlural":"Ice Wraiths","IndefiniteArticle":"an"}}};{"Quest":{"Structure":"Attack enemy","Name":"Clear the Ice Wraiths","Giver":"Arngeir","Reward":{"Gold Septim":200,"Charcoal":10},"Favorability":{"Arngeir":15,"Paarthurnax":10},"Actions":["goto Throat of the World","damage Ice Wraith"]}};Ice Wraiths have been gathering in unusual numbers on the slopes of the Throat of the World. They're disturbing the meditation of the Greybeards and making the pilgrimage path dangerous for those who seek to honor the Way of the Voice. Arngeir wants them cleared away.;Ice Wraiths. Many of them, gathering on the mountain. They sense something—perhaps the return of the Dragonborn has stirred forces we do not yet understand. Whatever the cause, they disturb our meditation and threaten pilgrims. Clear them from the slopes. Do not kill more than necessary—they are creatures of this world too—but they cannot remain here.;Attack enemy
{"NPCs":{"Sapphire":{"Name":"Sapphire","NamePossessive":"Sapphire's","Species":"Human","HomeLocation":"Riften Docks","CurrentLocation":"Riften Docks","Faction":"Thieves Guild","OwnedItems":{"Gold Septim":300,"Flawless Sapphire":5,"Garnet":20},"Role":"Thief","Relations":[{"Target":"Dragonborn","Favorability":-10}]},"Elisif the Fair":{"Name":"Elisif the Fair","NamePossessive":"Elisif the Fair's","Species":"Human","HomeLocation":"Solitude Blue Palace","CurrentLocation":"Solitude Blue Palace","Faction":"Imperial Legion","OwnedItems":{"Gold Septim":1000,"Amulet of Mara":1,"Alto Wine":10,"Flawless Sapphire":2},"Role":"Jarl","Relations":[{"Target":"Dragonborn","Favorability":10}]}},"Factions":{"Thieves Guild":{"Name":"Thieves Guild","NameDefinitive":"the Thieves Guild"}},"Items":{"Flawless Sapphire":{"Type":"Currency","Name":"Flawless Sapphire","NameSingular":"Flawless Sapphire","NamePlural":"Flawless Sapphires","IndefiniteArticle":"a"},"Garnet":{"Type":"Currency","Name":"Garnet","NameSingular":"Garnet","NamePlural":"Garnets","IndefiniteArticle":"a"}},"Locations":{"Solitude Blue Palace":{"Name":"Solitude Blue Palace","NameDefinitive":"the Solitude Blue Palace"},"Riften Docks":{"Name":"Riften Docks","NameDefinitive":"the Riften Docks"}}};{"Quest":{"Structure":"Steal stuff","Name":"The Noble's Jewelry","Giver":"Sapphire","Reward":{"Gold Septim":500,"Garnet":5},"Favorability":{"Sapphire":15,"Thieves Guild":5,"Elisif the Fair":-10},"Actions":["goto Solitude Blue Palace","stealth","take Flawless Sapphire","goto Riften Docks","give"]}};Sapphire has identified a valuable piece of jewelry—a Flawless Sapphire pendant—in the possession of Jarl Elisif the Fair. She wants it stolen. The challenge is immense: the Blue Palace is heavily guarded, and Elisif rarely removes the pendant. This is a test of skill as much as a theft.;Jarl Elisif wears a Flawless Sapphire pendant that would fetch enough coin to retire on. It's always around her neck, even when she sleeps. The Blue Palace is crawling with guards, and Elisif herself is rarely alone. This isn't just a theft—it's a statement. Steal that pendant, and you'll prove you're one of the best thieves in Skyrim.;Steal stuff
{"NPCs":{"Balgruuf the Greater":{"Name":"Balgruuf the Greater","NamePossessive":"Balgruuf the Greater's","Species":"Human","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"Stormcloaks","Role":"Jarl","Relations":[{"Target":"Dragonborn","Favorability":10}]}},"Items":{"Staff of Magelight":{"Type":"Weapon","Name":"Staff of Magelight","NameSingular":"Staff of Magelight","IndefiniteArticle":"a"},"Amulet of Mara":{"Type":"Artifact","Name":"Amulet of Mara","NameSingular":"Amulet of Mara","IndefiniteArticle":"an"}},"Locations":{"Bleak Falls Barrow":{"Name":"Bleak Falls Barrow","NameDefinitive":"the Bleak Falls Barrow","Enemies":["Draugr","Frostbite Spider","Dragon Priest"],"Resources":["Iron Sword","Health Potion","Gold Septim","Amulet of Mara"]},"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold"}},"Enemies":{"Dragon Priest":{"Name":"Dragon Priest","Loot":["Staff of Magelight","Amulet of Mara","Flawless Sapphire","Gold Septim"],"NameSingular":"Dragon Priest","NamePlural":"Dragon Priests","IndefiniteArticle":"a"}}};{"Quest":{"Structure":"Kill enemies","Name":"The Dragon Priest of Bleak Falls","Giver":"Farengar Secret-Fire","Reward":{"Gold Septim":800,"Staff of Magelight":1,"Amulet of Mara":1},"Favorability":{"Balgruuf the Greater":20,"Farengar Secret-Fire":25},"Actions":["goto Bleak Falls Barrow","kill Dragon Priest","goto Whiterun Hold","report"]}};Farengar Secret-Fire, Balgruuf's court wizard, has uncovered evidence that a Dragon Priest has awakened deep within Bleak Falls Barrow. These ancient undead sorcerers are incredibly dangerous, and if left unchecked, this one could gather power and become a threat to the entire hold. Farengar wants it destroyed and any artifacts it guards recovered.;A Dragon Priest! Here, in Bleak Falls Barrow! This is an incredible discovery—and a terrifying one. These ancient sorcerers were the servants of the dragons themselves. If one has awakened, it must be destroyed before it grows in power. The Barrow is dangerous enough without an undead priest commanding the Draugr. Kill it. And bring me anything interesting you find.;Kill enemies
{"NPCs":{"Faendal":{"Name":"Faendal","NamePossessive":"Faendal's","Species":"Elf","HomeLocation":"Riverwood Hamlet","CurrentLocation":"Riverwood Hamlet","Faction":"Stormcloaks","OwnedItems":{"Gold Septim":30,"Huntsman's Bow":1,"Iron Arrows":40},"Role":"Hunter","Relations":[{"Target":"Dragonborn","Favorability":5},{"Target":"Camilla Valerius","Favorability":15}]},"Camilla Valerius":{"Name":"Camilla Valerius","NamePossessive":"Camilla Valerius's","Species":"Human","HomeLocation":"Riverwood Hamlet","CurrentLocation":"Riverwood Hamlet","Faction":"Stormcloaks","Role":"Merchant","Relations":[{"Target":"Dragonborn","Favorability":20}]}},"Items":{"Iron Arrows":{"Type":"Weapon","Name":"Iron Arrows","NameSingular":"Iron Arrow","NamePlural":"Iron Arrows","IndefiniteArticle":"an"}},"Locations":{"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold","Enemies":["Wolf","Bandit","Giant","Mammoth"]},"Riverwood Hamlet":{"Name":"Riverwood Hamlet","NameDefinitive":"the Riverwood Hamlet"}},"Enemies":{"Sabre Cat":{"Name":"Sabre Cat","Loot":["Bear Pelt","Gold Septim"],"NameSingular":"Sabre Cat","NamePlural":"Sabre Cats","IndefiniteArticle":"a"}}};{"Quest":{"Structure":"Attack threatening entities","Name":"Sabre Cat Predation","Giver":"Faendal","Reward":{"Gold Septim":180,"Iron Arrows":40},"Favorability":{"Faendal":15,"Camilla Valerius":5},"Actions":["goto Whiterun Hold","damage Sabre Cat","goto Riverwood Hamlet","report"]}};A Sabre Cat has been hunting near Riverwood, killing livestock and threatening travelers. Faendal has tracked it to a den in the hills, but he's not confident he can take it alone. He wants help eliminating the predator before it claims a human victim.;A Sabre Cat. Big one, too—I've seen its tracks. It's taken two of Hod's goats and nearly got a traveler on the road last week. I could probably track it to its den, but facing it alone... I'm not too proud to admit I'd rather have help. Interested in a hunt? The pelt alone would be worth the effort.;Attack threatening entities
{"NPCs":{"Urag gro-Shub":{"Name":"Urag gro-Shub","NamePossessive":"Urag gro-Shub's","Species":"Orc","HomeLocation":"Whiterun Hold","CurrentLocation":"Whiterun Hold","Faction":"College of Winterhold","OwnedItems":{"Gold Septim":400,"Roll of Paper":20,"Charcoal":15,"Dwarven Cog":5},"Role":"Merchant","Relations":[{"Target":"Dragonborn","Favorability":0}]}},"Factions":{"College of Winterhold":{"Name":"College of Winterhold","NameDefinitive":"the College of Winterhold"}},"Items":{"Centurion Dynamo Core":{"Type":"Artifact","Name":"Centurion Dynamo Core","NameSingular":"Centurion Dynamo Core","NamePlural":"Centurion Dynamo Cores","IndefiniteArticle":"a"},"Dwarven Cog":{"Type":"Artifact","Name":"Dwarven Cog","NameSingular":"Dwarven Cog","NamePlural":"Dwarven Cogs","IndefiniteArticle":"a"},"Roll of Paper":{"Type":"Ingredient","Name":"Roll of Paper","NameSingular":"Roll of Paper","IndefiniteArticle":"a"}},"Locations":{"Markarth Warrens":{"Name":"Markarth Warrens","NameDefinitive":"the Markarth Warrens","Enemies":["Falmer","Chaurus","Frostbite Spider"],"Resources":["Dwarven Cog","Centurion Dynamo Core","Gold Septim","Iron Sword"]},"Whiterun Hold":{"Name":"Whiterun Hold","NameDefinitive":"the Whiterun Hold"}},"Enemies":{"Falmer":{"Name":"Falmer","Loot":["Iron Arrows","Steel Dagger","Lockpick"],"NameSingular":"Falmer","NamePlural":"Falmer","IndefiniteArticle":"a"}}};{"Quest":{"Structure":"Recover stolen item","Name":"The Stolen Dynamo Core","Giver":"Urag gro-Shub","Reward":{"Gold Septim":350,"Dwarven Cog":3,"Roll of Paper":10},"Favorability":{"Urag gro-Shub":15,"College of Winterhold":5},"Actions":["goto Markarth Warrens","kill Falmer","take Centurion Dynamo Core","goto Whiterun Hold","give"]}};A valuable Centurion Dynamo Core, essential for certain magical experiments, was stolen from Urag's collection. He's traced it to a group of Falmer who have made their lair in the depths of Markarth Warrens. He wants it retrieved—these artifacts are irreplaceable.;A Centurion Dynamo Core! Do you have any idea how rare those are? One was stolen from my collection—by Falmer, of all things. They probably think it's just a shiny bauble. I need it back. The Warrens are dangerous, and the Falmer are vicious, but that core is worth the risk. Retrieve it for me, and I'll reward you with other Dwarven artifacts.;Recover stolen item
